Movie_Number,Movie_Name,Year_of_Release,IMDB_Rating,Number_of_Votes,Genres,rating,year,id,imdbid
m461,a nightmare on elm street 3: dream warriors,1987,6.3,17734,"['fantasy', 'horror', 'thriller']",3,1987,5767,93629.0
m462,notting hill,1999,6.9,67217,"['comedy', 'romance']",3,1999,3495,125439.0
m465,on the waterfront,1954,8.4,42010,"['crime', 'drama', 'romance']",0,1954,1812,47296.0
m467,out of sight,1998,7.2,38595,"['comedy', 'crime', 'romance', 'thriller']",2,1998,2247,120780.0
m468,pearl harbor,2001,5.4,97519,"['action', 'drama', 'romance', 'war']",2,2001,2675,213149.0
m469,peggy sue got married,1986,6.3,12574,"['comedy', 'drama', 'fantasy', 'romance']",3,1986,2070,91738.0
m471,philadelphia,1993,7.6,54221,['drama'],2,1993,5919,107818.0
m472,pitch black,2000,7.0,55982,"['action', 'sci-fi', 'thriller']",3,2000,319,134847.0
m473,planet of the apes,2001,5.5,73596,"['action', 'adventure', 'sci-fi', 'thriller', 'animation', 'action', 'adventure', 'sci-fi']",1,1968,599,63442.0
m473,planet of the apes,2001,5.5,73596,"['action', 'adventure', 'sci-fi', 'thriller', 'animation', 'action', 'adventure', 'sci-fi']",3,2001,6218,133152.0
m474,platoon,1986,8.2,110867,"['action', 'drama', 'war']",0,1986,3558,91763.0
m477,point break,1991,6.9,37722,"['action', 'adventure', 'crime', 'drama', 'sport', 'thriller']",0,1991,512,102685.0
m477,point break,1991,6.9,37722,"['action', 'adventure', 'crime', 'drama', 'sport', 'thriller']",0,2015,6632,2058673.0
m478,predator,1987,7.8,90730,"['action', 'adventure', 'sci-fi', 'thriller']",0,1987,1928,93773.0
m479,pretty woman,1990,6.7,61642,"['comedy', 'romance']",3,1990,2156,100405.0
m482,psycho,1960,8.7,146915,"['drama', 'horror', 'mystery', 'thriller', 'thriller']",1,1960,2039,54215.0
m483,maniac,1980,6.2,3382,"['drama', 'horror', 'thriller']",3,1934,4702,25465.0
m483,maniac,1980,6.2,3382,"['drama', 'horror', 'thriller']",3,1980,8402,81114.0
m484,vampyr,1932,7.6,4005,"['fantasy', 'horror']",3,1932,5910,23649.0
m489,star wars: episode vi - return of the jedi,1983,8.3,215058,"['action', 'adventure', 'fantasy', 'sci-fi']",1,1983,671,86190.0
m491,rocky,1976,8.1,100022,"['drama', 'romance', 'sport']",1,1976,2267,75148.0
m492,who framed roger rabbit,1988,7.6,54375,"['animation', 'comedy', 'crime', 'family', 'fantasy', 'mystery', 'animation', 'adventure', 'action', 'fantasy']",1,1988,136,96438.0
m493,romeo and juliet,1968/I,7.8,12360,"['drama', 'romance']",3,1936,4069,28203.0
m493,romeo and juliet,1968/I,7.8,12360,"['drama', 'romance']",3,1968,1249,63518.0
m494,ronin,1998,7.2,58201,"['action', 'crime', 'thriller']",1,1998,6339,122690.0
m496,rush hour 2,2001,6.5,52716,"['action', 'comedy', 'crime', 'thriller']",0,2001,7493,266915.0
m497,rush hour,1998,6.8,56376,"['action', 'comedy', 'thriller', 'crime']",3,1998,1392,120812.0
m499,sleepless in seattle,1993,6.6,44179,"['comedy', 'romance', 'drama']",2,1993,556,108160.0
m500,salt of the earth,1954,7.6,1085,"['drama', 'history']",3,1954,5356,47443.0
m502,saving private ryan,1998,8.5,275666,"['action', 'drama', 'history', 'war']",0,1998,1090,120815.0
m503,say anything...,1989,7.5,25220,"['comedy', 'drama', 'romance']",2,1989,4270,98258.0
m505,scream 2,1997,5.9,48988,"['horror', 'mystery', 'thriller']",3,1997,4643,120082.0
m506,scream 3,2000,5.3,38870,"['horror', 'mystery', 'thriller']",3,2000,4644,134084.0
m507,scream,1996/I,7.2,92543,"['crime', 'horror', 'mystery', 'thriller']",3,1996,649,117571.0
m511,shakespeare in love,1998,7.4,78654,"['comedy', 'drama', 'romance']",3,1998,1926,138097.0
m516,sister act,1992,5.9,25196,"['comedy', 'crime', 'music']",3,1992,1352,105417.0
m517,sleepy hollow,1999,7.5,108951,"['fantasy', 'mystery', 'thriller']",3,1999,124,162661.0
m522,some like it hot,1959,8.4,68749,['comedy'],3,1959,2023,53291.0
m528,sphere,1998,5.6,31924,"['drama', 'horror', 'mystery', 'sci-fi', 'thriller']",1,1998,446,120184.0
m529,star wars,1977,8.8,326619,"['action', 'adventure', 'fantasy', 'sci-fi']",1,1977,669,76759.0
m530,starship troopers,1997,7.1,84874,"['action', 'adventure', 'sci-fi', 'thriller']",3,1997,107,120201.0
m531,star trek: the motion picture,1979,6.2,25723,"['adventure', 'fantasy', 'mystery', 'sci-fi']",1,1979,1300,79945.0
m533,stepmom,1998,6.2,18714,"['comedy', 'drama']",3,1998,1553,120686.0
m536,dr. strangelove or: how i learned to stop worrying and love the bomb,1964,8.6,158529,"['comedy', 'drama']",0,1964,341,57012.0
m539,sunset blvd.,1950,8.7,55994,"['drama', 'film-noir']",1,1950,608,43014.0
m540,supergirl,1984,4.1,6576,"['action', 'adventure', 'sci-fi']",3,1984,2000,88206.0
m541,superman iii,1983,4.7,18340,"['action', 'adventure', 'comedy', 'fantasy', 'sci-fi']",3,1983,4283,86393.0
m542,superman ii,1980,6.7,29941,"['action', 'adventure', 'fantasy', 'romance', 'sci-fi']",3,1980,4282,81573.0
m543,superman iv: the quest for peace,1987,3.4,15332,"['action', 'adventure', 'family', 'fantasy', 'sci-fi']",3,1987,4297,94074.0
m544,superman,1978,7.3,51172,"['action', 'family', 'sci-fi']",1,1978,1999,78346.0
m546,sweet smell of success,1957,8.2,9014,"['drama', 'film-noir']",1,1957,2301,51036.0
m571,thx 1138,1971,6.8,15741,"['drama', 'mystery', 'sci-fi', 'thriller']",0,1971,626,66434.0
m574,titanic,1997,7.4,244771,"['drama', 'history', 'romance']",3,1997,345,120338.0
m576,tombstone,1993,7.7,44204,"['action', 'drama', 'history', 'romance', 'western']",3,1993,3180,108358.0
m579,toy story,1995,8.2,156231,"['animation', 'adventure', 'comedy', 'family', 'fantasy']",1,1995,87,114709.0
m581,traffic,2000,7.8,86662,"['crime', 'drama', 'thriller']",3,2000,7929,181865.0
m582,trainspotting,1996,8.2,153782,"['crime', 'drama']",2,1996,137,117951.0
m583,star trek v: the final frontier,1989,5.0,20749,"['action', 'adventure', 'sci-fi', 'thriller']",1,1989,1201,98382.0
m584,tron,1982,6.7,25903,"['action', 'adventure', 'sci-fi', 'thriller', 'sci-fi']",0,1982,1002,84827.0
m585,true lies,1994,7.2,81801,"['action', 'thriller']",3,1994,1098,111503.0
m586,true romance,1993,7.9,74762,"['crime', 'romance', 'thriller']",1,1993,6349,108399.0
m587,twelve monkeys,1995,8.1,173320,"['mystery', 'sci-fi', 'thriller']",1,1995,2864,114746.0
m590,unbreakable,2000,7.3,98767,"['drama', 'fantasy', 'mystery', 'thriller']",0,2000,1114,217869.0
m591,unforgiven,1992,8.3,101270,"['drama', 'western']",3,1992,7006,105695.0
m594,vertigo,1958,8.6,93524,"['crime', 'mystery', 'romance', 'thriller']",1,1958,609,52357.0
m601,what lies beneath,2000,6.5,46195,"['drama', 'horror', 'mystery', 'thriller']",3,2000,1071,161081.0
m602,what women want,2000,6.3,55269,"['comedy', 'fantasy', 'romance']",1,2000,1083,207201.0
m606,wild things,1998,6.6,40523,"['crime', 'mystery', 'thriller']",3,1998,4752,120890.0
m607,wild wild west,1999,4.3,54943,"['action', 'western', 'comedy', 'sci-fi']",2,1999,1134,120891.0
m608,willow,1988,7.1,33506,"['action', 'adventure', 'drama', 'fantasy', 'romance']",3,1988,739,96446.0
m609,witness,1985,7.6,30705,"['drama', 'romance', 'thriller']",3,1985,5632,90329.0
m612,watchmen,2009,7.8,135229,"['action', 'crime', 'fantasy', 'mystery', 'sci-fi', 'thriller']",3,2009,358,409459.0
m613,xxx,2002,5.6,53505,"['action', 'adventure', 'crime']",1,2002,2268,295701.0
m614,x-men,2000,7.4,122149,"['action', 'sci-fi']",1,2000,101,120903.0
m615,young frankenstein,1974,8.0,57618,"['comedy', 'sci-fi']",2,1974,1077,72431.0
